geneName,log2FoldChange
mutL,-1.156925437
pgk,-1.15645683
yrrL,-1.156440699
BS3610_RS24195,-1.155039469
glnK,-1.154473792
yceD,-1.153384227
whiA,-1.151082678
lipL,-1.148256761
ppnKB,-1.147436748
pdp,-1.145822588
fadA,-1.1442469
sigO,-1.142126369
polX,-1.141200142
ispD,-1.140062848
ybdO,-1.139873892
gbsA,-1.139445247
yqjT,-1.139369242
thiE,-1.138465273
bshBB,-1.138112898
yhdN,-1.137727075
ydaC,-1.137188014
yqgC,-1.136228785
mgfK,-1.134844794
ywaD,-1.134735993
fliD,-1.133011442
yitS,-1.129935941
hisJ,-1.127849539
galE,-1.125862328
ycnJ,-1.122998275
dinB,-1.122303749
bshR,-1.119128196
ytpR,-1.118989547
yrvM,-1.117780139
minJ,-1.117388024
glcD,-1.116942695
gndA,-1.115215252
flhF,-1.114304594
ypqE,-1.111784926
ytkL,-1.111057008
ftsH,-1.108956788
yusV,-1.10859427
ytrF,-1.108296633
aag,-1.108061198
yceE,-1.10566167
ydcF,-1.10556093
lysA,-1.10186987
thrC,-1.099749729
malA,-1.099055735
odhB,-1.098903911
rpsI,-1.098753826
ydaS,-1.096964096
ydgK,-1.096592313
lutC,-1.096454779
yqjN,-1.094870494
ywdE,-1.09305516
ecsB,-1.091398366
bceR,-1.090417869
mtnD,-1.089974455
aldY,-1.089105578
yczE,-1.088179125
ydaF,-1.087145226
rimI,-1.086398812
menB,-1.085366783
yhdI,-1.084840772
gcvPB,-1.084415501
sacX,-1.084062744
rseP,-1.080092461
fliP,-1.079389462
cpgA,-1.078304212
yhdH,-1.078209353
yuzB,-1.076626923
gudD,-1.076479122
recQ,-1.075640542
xkdH,-1.075611374
yjbI,-1.075550877
ydiK,-1.072475115
dagK,-1.071506427
tatAY,-1.070846487
araM,-1.068788073
yfjA,-1.068509851
prpC,-1.065995005
bcaP,-1.064904511
cshA,-1.057632951
sbcE,-1.056024426
xynP,-1.053726872
ebrB,-1.053216063
lrpC,-1.053090015
yvzG,-1.05250136
bmrR,-1.050886904
yvbU,-1.047153403
cysJ,-1.04654064
yfhP,-1.045798875
yazA,-1.045324644
mcpA,-1.044480139
tgt,-1.044138422
yviE,-1.043666924
yclM,-1.043320101
amhX,-1.043223421
yneA,-1.04220102
lutB,-1.041238261
amyD,-1.040875083
araB,-1.040771625
yjgB,-1.040351747
glmS,-1.040120111
fliF,-1.039736805
xkdJ,-1.039588717
aroB,-1.039523922
crcBA,-1.038776273
ycnI,-1.037765443
cysI,-1.037155106
xkdR,-1.036288356
ytoP,-1.035882856
yvfI,-1.035246164
gbsB,-1.034726074
ymzE,-1.03273359
fur,-1.032665657
rdgB,-1.031772878
ecsC,-1.03102234
licT,-1.028715052
opuD,-1.027634016
ycbJ,-1.025013155
yjiC,-1.023237155
mcpC,-1.02176011
yceB,-1.021009601
desR,-1.019442392
rnz,-1.019114537
yusY,-1.017906926
yxiM,-1.01703281
eag,-1.01642272
BS3610_RS23350,-1.013625868
